NAME,FACTION,LORE,WARSCROLL,CV,RANGE,RULES
Vitriolic Spray,Anvilgard,Lore of Dark Sorcery,,8,,"Vitriolic Spray has a casting value of 8. If successfully cast, pick 1 enemy unit within 6"" of the caster that is visible to them. Until the start of your next hero phase, that unit has a Save characteristic of ‘-’."
Sap Strength,Anvilgard,Lore of Dark Sorcery,,6,,"Sap Strength has a casting value of 6. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. Subtract 1 from hit rolls for attacks made by that unit until the start of your next hero phase."
Etheral Blessings,Lumineth Realm-lords,Lore of Hysh,,6,"18""","Ethereal Blessing is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Lumineth Realm-lords unit wholly within range and visible to the caster. Until your next hero phase, ignore modifiers (positive or negative) when making save rolls for attacks that target that unit."
Total Eclipse,Lumineth Realm-lords,Lore of Hysh,,9,,"Total Eclipse is a spell that has a casting value of 9. If successfully cast, until your next hero phase, your opponent must spend 2 command points to issue a command instead of 1."
Protection of Hysh,Lumineth Realm-lords,Lore of Hysh,,8,"9""","Protection of Hysh is a spell that has a casting value of 8 and a range of 9"". If successfully cast, until your next hero phase, friendly units have a ward of 5+ while they are wholly within range of the caster. This spell cannot be cast in the same hero phase as Protection of Teclis."
Flaming Weapon,,Universal Spell Lore,,4,,"Flaming Weapon is a spell that has a casting value of 4. If successfully cast, pick 1 of the caster’s melee weapons. Add 1 to Damage characteristic of that weapon until your next hero phase."
Levitate,,Universal Spell Lore,,8,"18""","Levitate is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 friendly unit wholly within range and visible to the caster. That unit can fly until your next hero phase."
Ghost-mist,,Universal Spell Lore,,5,"6""","Ghost-mist is a spell that has a casting value of 5 and a range of 6"". If successfully cast, pick 1 terrain feature within range and visible to the caster. Until your next hero phase, visibility between 2 models is blocked if a straight line 1mm wide drawn between the closest points of the 2 models passes across more than 3"" of that terrain feature. This effect does not block visibility to or from models with a Wounds characteristic of 10 or more."
Nasty Hex,Kruleboyz,Lore of the Swamp,,7,"12""","Nasty Hex is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the end of your turn, ward rolls cannot be made for models in that unit."
Scorch,Skaven,Lore of Ruin,,5,"13""","Scorch is a spell that has a casting value of 5 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll a number of dice equal to the casting roll. For each 6, that unit suffers 1 mortal wound."
Deranged Transformation,Flesh-eater Courts,Lore of Madness,,6,,"Deranged Transformation has a casting value of 6. If successfully cast, pick 1 friendly unit with a Wounds characteristic of up to 6 that is wholly within 24"" of the caster and visible to them. Add that unit’s Wounds characteristic to its Move characteristic until your next hero phase. For example, if the unit had a Wounds characteristic of 6, you would add 6"" to its Move characteristic. If the casting roll was 10 or more, you can pick up to 3 friendly units to be affected by the spell instead of 1."
Bonestorm,Flesh-eater Courts,Lore of Madness,,5,,"Bonestorm has a casting value of 5. If successfully cast, roll a dice for each enemy unit within 12"" of the caster. On a 2+ that unit suffers 1 mortal wound."
Warding Brand,Hallowheart,Lore of Whitefire,,6,,"Warding Brand has a casting value of 6. If successfully cast, pick 1 friendly unit wholly within 18"" of the caster that is visible to them. Until the start of your next hero phase, roll a dice each time a wound inflicted by a melee weapon is allocated to a model from that unit and not negated. On a 4+, the attacking unit suffers 1 mortal wound."
Crystal Aegis,Hallowheart,Lore of Whitefire,,5,,"Crystal Aegis has a casting value of 5. If successfully cast, until the start of your next hero phase, add 1 to rolls for the Eldritch Attunement battle trait for friendly Hallowheart units wholly within 12"" of the caster."
Monstrous Vigour,Flesh-eater Courts,Lore of Madness,,5,,"Monstrous Vigour has a casting value of 5. If successfully cast, pick 1 friendly Flesh-eater Courts Monster within 24"" of the caster that is visible to them. Until your next hero phase, when you look up a value on that Monster’s damage table, that Monster is treated as if it has suffered 0 wounds."
Steed of Shadows,Daughters of Khaine,Lore of Shadows,,6,,"Steed of Shadows is a spell that has a casting value of 6. If successfully cast, until your next hero phase, the caster has a Move characteristic of 16"" and can fly."
Empower Nadirite Weapons,Ossiarch Bonereapers,Lore of Ossian Sorcery,,5,"24""","Empower Nadirite Weapons is a spell that has a casting value of 5 and a range of 24"". If successfully cast, pick 1 friendly Ossiarch Bonereapers unit wholly within range and visible to the caster. Until the start of your next hero phase, the Nadirite Weapons battle trait triggers on an unmodified hit roll of 5+ instead of 6 for that unit. "
Lightning Blast,Stormcast Eternals,Lore of the Storm,,5,,"Lightning Blast is a spell that has a casting value of 5. If successfully cast, the closest enemy unit that is visible to the caster suffers D3 mortal wounds. If more than 1 enemy unit visible to the caster is equally close, you can pick which unit is affected by this spell."
Azyrite Halo,Stormcast Eternals,Lore of the Storm,,5,"12""","Azyrite Halo is a spell that has a casting value of 5 and a range of 12"" if the caster is a Knight or 18"" if the caster is a Lord or Draconith. If successfully cast, pick 1 friendly Stormcast Eternals unit wholly within range and visible to the caster. Until your next hero phase, if the unmodified save roll for an attack that targets that unit is 6, the attacking unit suffers 1 mortal wound after all of its attacks have been resolved."
Celestial Blades,Stormcast Eternals,Lore of the Storm,,5,"12""","Celestial Blades is a spell that has a casting value of 5 and a range of 12"" if the caster is a Knight or 18"" if the caster is a Lord or Draconith. If successfully cast, pick 1 friendly Stormcast Eternals unit wholly within range and visible to the caster. Add 1 to wound rolls for attacks made with melee weapons by that unit until your next hero phase."
Pit of Shades,Daughters of Khaine,Lore of Shadows,,6,"18""","Pit of Shades is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll 2D6. If the roll is higher than that unit’s Move characteristic, that unit suffers a number of mortal wounds equal to the difference between its Move characteristic and the roll."
The Withering,Daughters of Khaine,Lore of Shadows,,7,"18""","The Withering is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to wound rolls for attacks that target that unit until your next hero phase."
Chain Lightning,Stormcast Eternals,Lore of the Storm,,6,"12""","Chain Lightning is a spell that has a casting value of 6 and a range of 12"" if the caster is a Knight or 18"" if the caster is a Lord or Draconith. If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. Then, roll a dice for each other enemy unit within 6"" of that unit. On a 3+, that other unit suffers 1 mortal wound."
Thundershock,Stormcast Eternals,Lore of the Storm,,6,"12""","Thundershock is a spell that has a casting value of 6 and a range of 12"" if the caster is a Knight or 18"" if the caster is a Lord or Draconith. If successfully cast, roll a dice for each enemy unit within range and visible to the caster. On a 3+, subtract 1 from wound rolls for attacks made by that unit until your next hero phase."
Starfall,Stormcast Eternals,Lore of the Storm,,5,"12""","Starfall is a spell that has a casting value of 5 and a range of 12"" if the caster is a Knight or 18"" if the caster is a Lord or Draconith. If successfully cast, pick 1 point on the battlefield within range and visible to the caster. Roll a dice for each enemy unit within 3"" of that point. On a 3+, that unit cannot make pile-in moves until the end of that turn."
Ignite Weapons,Hallowheart,Lore of Whitefire,,6,,"Ignite Weapons has a casting value of 6. If successfully cast, pick 1 friendly unit wholly within 18"" of the caster that is visible to them. Add 1 to wound rolls for attacks made by that unit until the start of your next hero"
Roaming Wildfire,Hallowheart,Lore of Whitefire,,6,,"Roaming Wildfire has a casting value of 6. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. That unit suffers D3 mortal wounds. Then roll a dice for each other enemy unit within 6"" of that unit. On a 4+, that other unit suffers D3 mortal wounds."
Foot of Gork,Ironjawz,Lore of the Weird,,10,"18""","Foot of Gork is a spell that has a casting value of 10 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. Then, roll a dice. On a 1-3, the sequence stops. On a 4+, the unit suffers D6 mortal wounds. Keep rolling dice in this way until the sequence stops or the target unit is destroyed."
Mortal Contract,Ossiarch Bonereapers,Lore of Ossian Sorcery,,7,"18""","Mortal Contract is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. For the rest of the battle, roll a dice at the end of each phase in which any attacks made by that unit inflicted any damage on a friendly Ossiarch Bonereapers unit. On a 3+, that enemy unit suffers D3 mortal wounds. You cannot pick the same enemy unit to be affected by this spell more than once per battle."
Mighty ’Eadbutt,Ironjawz,Lore of the Weird,,,"16""","Mighty ’Eadbutt is a spell that has a casting value
of 5 and a range of 16"". If successfully cast, pick 1 enemy Hero within range and visible to the caster. That Hero suffers 1 mortal wound. If that Hero is a Wizard, they suffer D3 mortal wounds instead of 1."
Da Great Big Green Hand of Gork,Ironjawz,Lore of the Weird,,7,"12""","Da Great Big Green Hand of Gork is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Orruk unit wholly within range, visible to the caster and more than 3"" from all enemy units. Remove that unit from the battlefield and set it up again anywhere on the battlefield more than 9"" from any enemy units. It cannot move in the following movement phase."
Bash ’Em Ladz,Ironjawz,Lore of the Weird,,8,,"Bash ’Em, Ladz! is a spell that has a casting value of 8. If successfully cast, until your next hero phase, you can add 1 to wound rolls for attacks made by friendly Ironjawz units that are wholly within 16"" of the caster."
Sear Wounds,Hallowheart,Lore of Whitefire,,6,,"Sear Wounds has a casting value of 6. If successfully cast, pick 1 friendly unit within 18"" of the caster that is visible to them. You can heal up to D6 wounds allocated to that unit."
Elemental Cyclone,Hallowheart,Lore of Whitefire,,6,,"Elemental Cyclone has a casting value of 6. If successfully cast, pick 1 enemy unit within 12"" of the caster that is visible to them. Roll 1 dice for each model from that unit that is within 12"" of the caster. For each 4+, that unit suffers 1 mortal wound."
Squiggly Curse,Bonesplitterz,Lore of the Savage Beast,,6,,"Squiggly Curse is a spell that has a casting value of 6. If successfully cast, pick 1 enemy Hero within 3"" of the caster. That Hero suffers D3 mortal wounds. If that Hero is slain by those mortal wounds, you can add 1 to casting rolls for the caster for the rest of the battle."
Glowy Green Tusks,Bonesplitterz,Lore of the Savage Beast,,5,"18""","Glowy Green Tusks is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Bonesplitterz unit wholly within range and visible to the caster. Until the start of your next hero phase, improve the Rend characteristic of weapons used by that unit’s mounts by 2."
Gorkamorka’s War Cry,Bonesplitterz,Lore of the Savage Beast,,7,"12""","Gorkamorka’s War Cry is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. In the following combat phase, that unit can only be picked to fight at the end of that phase."
Power of the Were-boar,Bonesplitterz,Lore of the Savage Beast,,6,"24""","Power of the Were-boar is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 friendly Bonesplitterz unit wholly within range and visible to the caster. Until your next hero phase, add 1 to run rolls and charge rolls for that unit, and add 1 to hit rolls for attacks made by that unit, but that unit cannot shoot."
Aura of Glory,Tempest’s Eye,Lore of Eagles,,7,,"Aura of Glory has a casting value of 7. If successfully cast, until the start of your next hero phase, add 1 to the Attacks characteristic of melee weapons used by friendly Tempest’s Eye units while they are wholly within 12"" of the caster."
Strike of Eagles,Tempest’s Eye,Lore of Eagles,,7,,"Strike of Eagles has a casting value of 7. If successfully cast, pick 1 enemy unit within 30"" of the caster that is visible to them, and roll 6 dice. For each 4+, that unit suffers 1 mortal wound."
Celestial Visions,Tempest’s Eye,Lore of Eagles,,7,,"Celestial Visions has a casting value of 7. If successfully cast, you receive 1 extra command point."
Itchy Nuisance,Gloomspite Gitz,Lore of the Moonclans,,6,"18""","Itchy Nuisance is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. The strike-last effect applies to that unit until the end of the turn."
Molten Entrails,Ogor Mawtribes,Lore of Gutmagic,,6,"18""","Molten Entrails is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Ogor Mawtribes Monster wholly within range and visible to the caster. Until the start of your next hero phase, add 1 to the Damage characteristic of melee weapons used by that Monster’s mount."
Greasy Deluge,Ogor Mawtribes,Lore of Gutmagic,,6,"18""","Greasy Deluge is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from hit rolls for attacks made by that unit until the start of your next hero phase."
Pressure of the Deep,Idoneth Deepkin,Lore of the Deeps,,7,"12""","Pressure of the Deep is a spell that has a casting value of 7 and a range of 12"". If cast, pick 1 enemy model within range that is visible to the caster and roll a dice. If the result is greater than that model’s Wounds characteristic, that model is slain."
Arcane Corrasion,Idoneth Deepkin,Lore of the Deeps,,6,"12""","Arcane Corrasion is a spell that has a casting value of 6 and a range of 12"". If cast, pick 1 enemy unit within range and visible to the caster. Worsen the Rend characteristic of that unit’s melee weapons by 1 until your next hero phase."
Unbreakable Stoicism,Lumineth Realm-lords,Lore of the High Peaks,,7,"12""","Unbreakable Stoicism is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Stoneguard unit wholly within range and visible to the caster. Until your next hero phase, that unit’s Crushing Blow ability causes mortal wounds on an unmodified hit roll of 5+ instead of 6."
Blood Feast,Flesh-eater Courts,Lore of Madness,,7,,"Blood Feast has a casting value of 7. If successfully cast, pick 1 enemy unit within 12"" of the caster that is visible to them, and a friendly Flesh-eater Courts unit within 6"" of that enemy unit. The enemy unit suffers D3 mortal wounds. If the casting roll was 10 or more, the enemy unit suffers D6 mortal wounds instead of D3 mortal wounds.

Then, for each mortal wound that was inflicted on the enemy unit, you can heal 1 wound allocated to the friendly unit. If the friendly unit has a Wounds characteristic of 1, for each mortal wound that was inflicted on the enemy unit, you can return 1 slain model to the friendly unit instead."
Miasmal Shroud,Flesh-eater Courts,Lore of Madness,,5,,"Miasmal Shroud has a casting value of 5. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them and roll 3 dice. For each 5+ that unit suffers 1 mortal wound. In addition, if you rolled a triple, subtract 1 from hit and wound rolls for that unit until your next hero phase. If you rolled a double, subtract 1 from hit rolls only for that unit until your next hero phase."
Spectral Host,Flesh-eater Courts,Lore of Madness,,6,,"Spectral Host has a casting value of 6. If successfully cast, pick 1 friendly unit wholly within 12"" of the caster that is visible to them. That unit can fly until your next hero phase. If that unit can already fly, until your next hero phase, it can run and still charge in the same turn. If the casting roll was 10 or more, you can pick up to 3 different friendly units to be affected by the spell instead of 1."
Plague Squall,Maggotkin of Nurgle,Lore of Malignance,,6,,"Plague Squall is a spell that has a casting value of 6. If successfully cast, roll 7 dice. For each 6, you can pick 1 different enemy unit that is visible to the caster and give that unit 1 disease point."
Mindrazor,Daughters of Khaine,Lore of Shadows,,8,"18""","Mindrazor is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 friendly Daughters of Khaine unit wholly within range and visible to the caster. Improve the Rend characteristic of that unit’s melee weapons by 1 until your next hero phase. In addition, until your next hero phase, add 1 to the Damage characteristic of that unit’s melee weapons if it made a charge move in the same turn."
Vicious Stranglethorns,Beasts of Chaos,Lore of the Twisted Wilds,,5,"18""","Vicious Stranglethorns is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That enemy unit cannot make pile-in moves until your next hero phase."
Tendrils of Atrophy,Beasts of Chaos,Lore of the Twisted Wilds,,7,"12""","Tendrils of Atrophy is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to the damage inflicted by each successful attack made with a melee weapon that targets that unit until your next hero phase."
Shroud of Despair,Daughters of Khaine,Lore of Shadows,,4,"18""","Shroud of Despair is a spell that has a casting value of 4 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from that unit’s Bravery characteristic until your next hero phase. If the casting roll was 8+, subtract D3 from that unit’s Bravery characteristic instead of 1 until your next hero phase."
Rancid Visitations,Maggotkin of Nurgle,Lore of Malignance,,6,"7""","Rancid Visitations is a spell that has a casting value of 6 and a range of 7"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll 1 dice for each model in that unit that is within range. For each 2+, that unit suffers 1 mortal wound."
Stream of Corruption,Maggotkin of Nurgle,Lore of Virulence,,6,"7""","Stream of Corruption is a spell that has a casting value of 6 and a range of 7"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit that is within range of the caster. For each 5+, that unit suffers 1 mortal wound.

Before attempting to cast this spell, you can say that the caster will project the stream across a greater distance. If you do so, the spell has a range of 14"" but only inflicts 1 mortal wound for each roll of 6 instead of each roll of 5+."
Magnificent Buboes,Maggotkin of Nurgle,Lore of Malignance,,7,"21""","Magnificent Buboes is a spell that has a casting value of 7 and a range of 21"". If successfully cast, pick 1 enemy Hero within range and visible to the caster. Until your next hero phase, subtract 1 from hit rolls for attacks made by that Hero and subtract 1 from chanting, casting, dispelling and unbinding rolls for that Hero."
Cloying Quagmire,Maggotkin of Nurgle,Lore of Malignance,,5,"14""","Cloying Quagmire is a spell that has a casting value of 5 and a range of 14"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a dice. If the roll is equal to or higher than that unit’s Save characteristic, until your next hero phase, halve that unit’s Move characteristic and subtract 2 from run rolls and charge rolls for that unit."
Blades of Putrefaction,Maggotkin of Nurgle,Lore of Malignance,,7,"14""","Blades of Putrefaction is a spell that has a casting value of 7 and a range of 14"". If successfully cast, pick 1 friendly Maggotkin of Nurgle unit within range and visible to the caster. Until your next hero phase, each attack made with a missile weapon or melee weapon by that unit inflicts 1 disease point on the target unit on an unmodified hit roll of 5 or 6."
Gift of Disease,Maggotkin of Nurgle,Lore of Malignance,,6,"21""","Gift of Disease is a spell that has a casting value of 6 and a range of 21"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Give that unit and each other enemy unit within 7"" of that unit 1 disease point."
