NAME,MOUNT
Chaos Sorcerer Lord on Manticore,This model’s Manticore is armed with Honed Fangs and Claws and a Shredding Tail.
Chaos Warshrine,This unit's Shrine Bearers are armed with Flailing Fists.
Gorebeast Chariot,This unit’s Gorebeasts are armed with Crushing Fists.
Tzaangor Enlightened on Discs of Tzeentch,This unit’s Discs of Tzeentch are armed with Teeth and Horns.
Grot Shaman,"This unit can have a Giant Wolf mount that is armed with Slavering Jaws. If this unit has a Giant Wolf mount, it has a Move characteristic of 12"" instead of 5""."
Plague Drones,"This unit’s Rot Flies are each armed with Claws, Mouthparts and a Sting."
Lord of Afflictions,"This unit’s Rot Fly is armed with Claws, Mouthparts and a Sting. It can also be armed with a Dolorous Tocsin."
Pusgoyle Blightlords,"This unit’s Rot Flies are each armed with Claws, Mouthparts and a Sting."
Vorgaroth the Scarred,"Skalok the Skull Host of Khorne is armed with White-hot Balefire, Eviscerating Claws, Cavernous Jaws and a Brass-plated Tail."
Drakeseer,This unit’s Dragon is armed with Claws and Fearsome Jaws.
Chaos Lord on Daemonic Mount,This unit’s Daemonic Mount is armed with Mighty Hooves.
Orruk Great Shaman,"This unit can have a War Boar mount that is armed with Jagged Tusks. A unit with a War Boar mount has a Move characteristic of 9"" instead of 5""."
Orruk Warboss,"This unit can have a War Boar mount that is armed with Jagged Tusks. If this unit has a War Boar mount, it has a Move characteristic of 9"" instead of 5""."
Orruk Warboss on Wyvern,"This unit’s Wyvern is armed with Horns, Claws and Teeth, and a Venomous Barbed Tail."
Grot Wolf Chariots,This unit’s Giant Wolves are armed with Slavering Jaws.
Grot Wolf Riders,This unit’s Giant Wolves are each armed with Slavering Jaws.
Orruk Boar Chariots,This unit’s War Boars are armed with Jagged Tusks.
Orruk Boarboys,This unit’s War Boars are each armed with Jagged Tusks.
Warrior Priest,"This unit can be mounted on a Barded Warhorse that is armed with Steel-shod Hooves. If this unit is mounted on a Barded Warhorse, it has a Move characteristic of 12"" instead of 5""."
Archmage,"This unit can have an Aelven Steed mount that is armed with Swift Hooves. If this unit has an Aelven Steed mount, it has a Move characteristic of 14"" instead of 6""."
Freeguild General on Warhorse,This unit’s Warhorse attacks with its Steel-shod Hooves. 
Dragon Noble,"This unit can have an Aelven Purebreed mount that is armed with Ithilmar-shod Hooves. If this unit has an Aelven Purebreed mount, it has a Move characteristic of 12"" instead of 6""."
Skywarden,This unit can have a Skycutter mount that is pulled by a Swiftfeather Hawk armed with Raking Talons.
War Altar of Sigmar,This unit’s Warhorses are armed with Steel-shod Hooves.
Archmage on Dragon,This unit’s Dragon is armed with Claws and Fearsome Jaws.
White Lion Chariots,This unit’s War Lions are armed with Fangs and Claws.
Dragon Blades,This unit’s Aelven Purebreeds are each armed with Ithilmar-shod Hooves.
Swifthawk Chariots,This unit’s Aelven Purebreeds are armed with Swift Hooves. 
Skycutters,This unit’s Swiftfeather Hawks are each armed with Raking Talons.
Clawlord on Brood Horror,This model’s Brood Horror is armed with Fangs and Claws and a Prehensile Tail.
Tamurkhan the Maggot Lord,"This unit’s toad dragon, Bubebolos, is armed with a Lashing Tongue, Crushing Jaws and its Befouled Bulk."
Kazyk the Befouled ,This model’s Rot Beast is armed with Slavering Fangs.
Daemon Pox Riders of Nurgle,This unit’s Plague Toads are each armed with a Grasping Tongue and Yawning Maw.
Drazhoath the Ashen,"This unit’s Bale Taurus, Cinderbreath, is armed with Gouts of Flame, Brazen Horns, and Burning Hooves."
Horticulous Slimux,"This unit’s mount, Mulch, is armed with Slime-encrusted Jaws."
Tzaangor Shaman,This unit’s Disc of Tzeentch is armed with Teeth and Horns.
Orghotts Daemonspew,"This unit’s Pox Maggoth, Whippermaw, is armed with a Grasping Tongue and Monstrous Claws."
Morbidex Twiceborn,"This unit’s Pox Maggoth, Tripletongue, is armed with Slabrous Tongues and Monstrous Claws."
Pusgoyle Blightlords (Single),"This unit’s Rot Flies are each armed with Claws, Mouthparts and a Sting."
Akhelian Allopexes (Bloodthirsty Shiver),This unit’s Allopexes are each armed with a Ferocious Bite.
Volturnos,"This unit’s Deepmare, Uasall, is armed with Fangs and Talons, and Lashing Tails."
Akhelian King,"This unit’s Deepmare is armed with Fangs and Talons, and Lashing Tails."
Akhelian Allopexes,This unit’s Allopexes are each armed with a Ferocious Bite.
Akhelian Leviadon,This unit’s Leviadon is armed with Massive Scythed Fins and Crushing Jaws.
Doomfire Warlocks,This unit’s Dark Steeds are each armed with a Vicious Bite.
Reikenor the Grimhailer,"This unit’s nightmare steed, Kyllaron, is armed with Ghostly Hooves and Teeth."
Knight of Shrouds on Ethereal Steed,This unit’s ethereal steed is armed with Ghostly Hooves and Teeth.
Dreadblade Harrow,This unit’s ethereal steed is armed with Ghostly Hooves and Teeth.
Spiterider Lancers,This unit’s Dragonspites are armed with Sharp Mandibles.
Revenant Seekers,This unit’s Dragonspites are armed with Sharp Mandibles.
Vanari Dawnriders,This unit’s stallion steeds are armed with Dashing Hooves.
Chaos Chariots,This unit’s War Steeds are armed with Trampling Hooves.
Gaunt Summoner on Disc of Tzeentch,This unit’s Disc of Tzeentch is armed with Teeth and Horns.
The Blue Scribes,This unit’s Disc of Tzeentch is armed with Teeth and Horns.
Fluxmaster,This unit’s Disc of Tzeentch is armed with Teeth and Horns. 
Hurakan Windchargers,This unit’s treerunners are armed with Claws.
Beasts of Chaos Tzaangor Shaman,This unit’s Disc of Tzeentch is armed with Teeth and Horns.
Beasts of Chaos Tzaangor Skyfires,This unit’s Discs of Tzeentch are each armed with Teeth and Horns.
Beasts of Chaos Tzaangor Enlightened on Discs of Tzeentch,This unit’s Discs of Tzeentch are each armed with Teeth and Horns.
Slaves to Darkness Gaunt Summoner on Disc of Tzeentch,This unit’s Disc of Tzeentch is armed with Teeth and Horns.
"Eternus, Blade of the First Prince","This unit’s mount, Drakocephalus, is armed with Tearing Fangs."
Gorebeast Chariots,This unit’s Gorebeasts are armed with Crushing Fists.
Rippa's Snarlfangs,This unit’s Snarlfangs are each armed with Slavering Jaws.
Snarlfang Riders,This unit’s Snarlfangs are each armed with Slavering Jaws.
Spider Riders,This unit’s Giant Spiders are each with Fangs.
"Bladebringer, Herald on Seeker Chariot",This unit’s Seeker Chariot is drawn by Steeds of Slaanesh armed with Poisoned Tongues.
"Bladebringer, Herald on Hellflayer",This unit’s Hellflayer is drawn by Steeds of Slaanesh armed with Poisoned Tongues.
"Bladebringer, Herald on Exalted Chariot",This unit’s Exalted Chariot is drawn by Steeds of Slaanesh armed with Poisoned Tongues.
Bloodcrushers,This unit’s Juggernauts are each armed with Brazen Hooves.
Seekers,This unit’s Steeds of Slaanesh are each armed with a Poisoned Tongue.
Corpse Cart with Balefire Brazier (Veremord’s Shamblers),This model’s Zombies attack with their Rusty Blades.
Mannfred Von Carstein,"This unit’s dread abyssal, Ashigaroth, is armed with Ebon Claws."
Kavalos Deathriders,This unit’s Kavalos steeds are each armed with Hooves and Teeth. 
Black Knights,This unit’s Skeletal Steeds attack with their Skeletal Hooves and Teeth.
Raptadon Chargers,This unit’s Raptadons are each armed with Serrated Fangs.
Raptadon Hunters,This unit’s Raptadons are each armed with Serrated Fangs.
Saurus Scar-Veteran on Aggradon,This unit’s Aggradon is armed with Rending Bites and Striking Talons.
Aggradon Lancers,This unit’s Aggradons are each armed with Rending Bites and Striking Talons.
Harbinger of Decay,This unit’s daemonic mount is armed with a Flyblown Bite.
Harbinger of Decay (Phulgoth’s Shudderhood),This unit’s daemonic mount is armed with a Flyblown Bite.
Pusgoyle Blightlords (Phulgoth’s Shudderhood),"This unit’s Rot Flies are each armed with Claws, Mouthparts and a Sting."
Squig Hoppers (Braggit’s Bottle-snatchaz),This unit’s Cave Squigs are each armed with a Fang-filled Gob.
